"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"EFFICIENT COPYING OF NONHOMOLOGOUS SEQUENCES FROM ECTOPIC SITES VIA P-ELEMENT-INDUCED GAP REPAIR","NASSIF, N; PENNEY, J; PAL, S; ENGELS, WR; GLOOR, GB","","","","MOLECULAR AND CELLULAR BIOLOGY","MAR 1994","1994","14","3","","","","1613","1625","","10.1128/MCB.14.3.1613                                                           ","","","346","14.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","23","16","15","25","25","8","15","14","22","11","14","21","14","14","18","13","12","17","10","4","14","7","0"
"TARGETED GENE REPLACEMENT IN DROSOPHILA VIA P-ELEMENT-INDUCED GAP REPAIR","GLOOR, GB; NASSIF, NA; JOHNSONSCHLITZ, DM; PRESTON, CR; ENGELS, WR","","","","SCIENCE","SEP 6 1991","1991","253","5024","","","","1110","1117","","10.1126/science.1653452","","","304","11.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","20","22","22","23","18","16","16","11","12","16","15","11","6","12","7","3","5","3","4","2","10","15","3","5","5","0"
"TYPE-I REPRESSORS OF P-ELEMENT MOBILITY","GLOOR, GB; PRESTON, CR; JOHNSONSCHLITZ, DM; NASSIF, NA; PHILLIS, RW; BENZ, WK; ROBERTSON, HM; ENGELS, WR","","","","GENETICS","SEP 1993","1993","135","1","","","","81","95","","","","","300","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","11","7","10","16","14","18","19","9","18","12","19","16","17","18","14","13","15","5","13","12","8","5","0"
"Stool substitute transplant therapy for the eradication of Clostridium difficile infection: 'RePOOPulating' the gut","Petrof, Elaine O.; Gloor, Gregory B.; Vanner, Stephen J.; Weese, Scott J.; Carter, David; Daigneault, Michelle C.; Brown, Eric M.; Schroeter, Kathleen; Allen-Vercoe, Emma","","","","MICROBIOME","2013","2013","1","","","","","","","3","10.1186/2049-2618-1-3","","","190","38.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","35","43","54","47","0"
"Mutual information without the influence of phylogeny or entropy dramatically improves residue contact prediction","Dunn, S. D.; Wahl, L. M.; Gloor, G. B.","","","","BIOINFORMATICS","FEB 1 2008","2008","24","3","","","","333","340","","10.1093/bioinformatics/btm604","","","174","17.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","18","10","28","20","19","31","18","20","0"
"Microbiota restoration: natural and supplemented recovery of human microbial communities","Reid, Gregor; Younes, Jessica A.; Van der Mei, Henny C.; Gloor, Gregory B.; Knight, Rob; Busscher, Henk J.","","","","NATURE REVIEWS MICROBIOLOGY","JAN 2011","2011","9","1","","","","27","38","","10.1038/nrmicro2473","","","170","24.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","27","27","27","24","28","26","0"
"The Hsp90 family of proteins in Arabidopsis thaliana","Krishna, P; Gloor, G","","","","CELL STRESS & CHAPERONES","JUL 2001","2001","6","3","","","","238","246","","10.1379/1466-1268(2001)006<0238:THFOPI>2.0.CO;2","","","169","9.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","8","6","9","4","10","9","12","11","13","17","9","21","15","11","8","0"
"Using information theory to search for co-evolving residues in proteins","Martin, LC; Gloor, GB; Dunn, SD; Wahl, LM","","","","BIOINFORMATICS","NOV 15 2005","2005","21","22","","","","4116","4124","","10.1093/bioinformatics/bti671","","","143","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","17","17","19","13","25","12","10","11","7","5","0"
"Mutual information in protein multiple sequence alignments reveals two classes of coevolving positions","Gloor, GB; Martin, LC; Wahl, LM; Dunn, SD","","","","BIOCHEMISTRY","MAY 17 2005","2005","44","19","","","","7156","7165","","10.1021/bi050293e","","","140","10.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","11","9","17","17","15","18","9","9","10","11","8","0"
"Microbiome Profiling by Illumina Sequencing of Combinatorial Sequence-Tagged PCR Products","Gloor, Gregory B.; Hummelen, Ruben; Macklaim, Jean M.; Dickson, Russell J.; Fernandes, Andrew D.; MacPhee, Roderick; Reid, Gregor","","","","PLOS ONE","OCT 26 2010","2010","5","10","","","","","","e15406","10.1371/journal.pone.0015406","","","124","15.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","13","17","21","24","23","20","1"
