course	enr	year	avg	OIE	CALE
MS138	98	1993	3.9	NA	NA
MS138	98	1994	5.1	NA	NA
MS138	98	1995	5.6	NA	NA
BC410	54	1996	5.41	5.57	5.28
BC410	79	1997	5.41	5.55	5.4
MS138	98	1997	5.44	5.64	5.49
BC410	82	1998	4.99	5.10	4.56
MS138	98	1998	4.64	4.72	4.36
BC410	79	1999	4.02	3.88	3.74
MS138	98	1999	4.91	4.91	4.7
BC445	13	2000	6.18	6.17	6.5
MS138	107	2000	4.72	4.68	4.55
BC445	15	2001	5.63	5.88	6.13
MS138	118	2001	4.98	4.98	5
BC445	15	2002	6.27	6.69	6.17
MS138	120	2002	4.61	4.76	4.59
BC445	10	2003	6.35	6.86	6.43
BC445	15	2003	6.44	6.60	6.6
MS138	120	2003	5.16	5.28	4.82
BC445	12	2004	5.65	5.78	5.78
BC445	13	2004	5.53	5.55	5.3
BC445	12	2005	6.13	6.42	6.33
BC445	9	2005	5.60	5.56	5.63
BC445	15	2006	6.11	5.92	5.5
BC445	13	2006	5.79	5.89	5.78
BC445	15	2007	6.17	6.5	6.1
BC445	7	2007	6.49	6.8	6.8
BC445	11	2008	6.56	6.78	6.67
BC445	9	2009	6.35	6.50	6.13
BC445	20	2010	6.49	6.64	6.5
BC445	17	2011	6.61	6.82	6.76
BC445	17	2012	5.92	6.17	6.33
BC445	22	2013	6.07	6.38	6.19
BC3390	26	2014	6.41	6.53	6.35
BC3390	17	2015	5.90	6.06	5.94
BC3390	25	2016	6.44	6.5	6.07
BC9545	14	2015	6.2	6.4	6.3
BC9545	10	2015	6.1	6.3	6.1
BC9545	11	2003	6.0	6.2	5.9
BUS629	25	2003	6.3	6.5	6.0
BC9545	7	2001	6.0	6.3	6.4
BUS629	20	2004	6.1	6.3	5.8
BUS629	16	2006	6.2	6.5	6.4
BUS629	15	2005	6.0	6.2	6.2
BC9545	8	2010	6.3	6.5	6.0
BC9545	10	2011	6.1	6.3	6.0
BC9545	15	2013	5.7	5.9	5.8
BC9545	15	2014	5.7	5.9	5.5






